Dato;index;PO;BEHFISK_STK;BIOMASSE_KG;FORFORBRUK_KG;DØDFISK_STK;% Dødfisk;Tetthet;% FORFORBRUK
2020-10-31;199;3.0;50094389;106330827.82699999;28469091;616167;1.2300120079316668;18716.92093416652;26.774070682793088
2020-11-30;200;3.0;47839804;109688274.24000001;24935575;845443;1.7672375915252496;19307.916606231298;22.733127285274353
2020-12-31;201;3.0;43745520;110028531.997;22085277;633404;1.44792883934172;19367.81059619785;20.072318151624682
2021-01-31;202;3.0;41218809;101939379.115;14583230;558981;1.35613088675124;17943.914647949303;14.305786563157646
2021-02-28;203;3.0;38975697;97909907.88;9863995;774700;1.9876488674468094;17234.625572962505;10.074562639860183
2021-03-31;204;3.0;44949786;94968851.37099999;12201696;911976;2.028877289871858;16716.925078507305;12.848103166304012
2021-04-30;205;3.0;48727814;93873930.646;14830900;964297;1.978945741337791;16524.191277239923;15.798741884930276
2021-05-31;206;3.0;47347088;88501261.37099999;17686660;719395;1.5194070646963547;15578.465300299242;19.984641716977322
2021-06-30;207;3.0;45392780;75429639.551;17279195;653334;1.439290565592149;13277.528525083611;22.907699284864105
2021-07-31;208;3.0;43183152;75871482.85499999;19434509;594894;1.3776067110617585;13355.304146277062;25.615037783223254
2021-08-31;209;3.0;47225675;84798652.22299999;23200150;528047;1.1181354210395087;14926.712237810243;27.35910228736797
2021-09-30;210;3.0;48102654;89919245.815;23138843;567451;1.1796667185972731;15828.066505016723;25.73291489522265
2021-10-31;211;3.0;50546288;97876655.634;23921777;638934;1.2640572142508268;17228.77233480021;24.440738034054924
2021-11-30;212;3.0;49163046;102440176.56600001;22311528;624046;1.2693395767219142;18032.067693363846;21.780056173199934
2021-12-31;213;3.0;46610938;104336981.722;19580124;759923;1.6303533732790358;18365.953480373173;18.766235784134654
2022-01-31;214;3.0;45874938;105464186.56899999;16642006;707525;1.542290912741942;18564.370105439182;15.779769930820981
2022-02-28;215;3.0;42610913;100148589.571;14036239;740843;1.7386226856955636;17628.69029589861;14.015413557121597
2022-03-31;216;3.0;52264571;96274143.287;14446295;764844;1.4634081661169667;16946.68954180602;15.00537372421438
2022-04-30;217;3.0;52092292;91362550.687;15748406;832649;1.5984111430535635;16082.124746875552;17.237266124445934
2022-05-31;218;3.0;50769985;90258670.16499999;18233461;555804;1.0947491908851263;15887.813794226367;20.20134017781094
2022-06-30;219;3.0;50657556;92846034.794;20993049;515833;1.0182745492103882;16343.255552543565;22.610603723226138
2022-07-31;220;3.0;48563599;97311226.301;24528502;619710;1.2760792296304069;17129.242439887345;25.206240772394768
2022-08-31;221;3.0;49031391;101095755.05399999;28521329;736731;1.502570057618802;17795.41542932582;28.21219247510978
2022-09-30;222;3.0;47237324;100626276.89500001;26424768;829002;1.7549724027550755;17712.77537317374;26.260305772391163
2022-10-31;223;3.0;47626850;101622187.447;24805217;766285;1.6089348760205642;17888.0808743179;24.409253159342693
2022-11-30;224;3.0;45106873;100202800.155;21445913;812310;1.800856379470153;17638.232732793524;21.402508679224646
2022-12-31;225;3.0;43898425;95034612.721;18652154;1019756;2.3229899478170344;16728.50074300299;19.626695438596126
2023-01-31;226;3.0;41619572;91242751.75999999;13439978;1010573;2.4281196356368104;16061.037099102268;14.729913051451792
2023-03-31;227;3.0;47456529;86172932.28599998;12975729;869439;1.83207457081406;15168.620363668366;15.057778186002487
2023-04-30;228;3.0;48320995;82151412.88;13631403;710948;1.471302484561835;14460.731012145749;16.59302320206182
2023-05-31;229;3.0;48909307;76419912.163;15493556;756702;1.5471533873910748;13451.841605879246;20.27423947694809
2023-06-30;230;3.0;47530869;66548448.673;14814945;716035;1.506463094541781;11714.213813237106;22.2618938463861
2023-07-31;231;3.0;45132046;69622597.485;18431755;751931;1.666068939130302;12255.34192659743;26.473811184610103
